iter,t_granted,state,P_total,Q_total,updated,n_feeders,Vmag,Vang_rad
324,1.05,ITERATING,0.4809,0.0558,10,10,0.678081,0.124953
325,1.05,ITERATING,0.481,0.0559,10,10,0.678075,0.124925
326,1.05,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
327,1.05,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
328,1.05,ITERATING,0.4815,0.056,10,10,0.678056,0.124838
329,1.05,ITERATING,0.4817,0.056,10,10,0.678049,0.124809
330,1.05,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
331,1.05,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
332,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
333,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
334,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
335,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
336,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
337,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
338,1.05,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
339,1.06,NEXT_STEP,0.4818,0.056,10,10,0.282812,-0.033612
340,1.06,ITERATING,0.4818,0.056,10,10,0.675766,0.094764
341,1.06,ITERATING,0.358,0.0309,10,10,0.682712,0.14571
342,1.06,ITERATING,0.3807,0.0354,10,10,0.681984,0.142874
343,1.06,ITERATING,0.4013,0.0395,10,10,0.681202,0.139269
344,1.06,ITERATING,0.4181,0.0429,10,10,0.68055,0.136245
345,1.06,ITERATING,0.4314,0.0456,10,10,0.680028,0.133837
346,1.06,ITERATING,0.4421,0.0478,10,10,0.67961,0.131917
347,1.06,ITERATING,0.4505,0.0495,10,10,0.679277,0.130386
348,1.06,ITERATING,0.4573,0.0509,10,10,0.679008,0.129162
349,1.06,ITERATING,0.4625,0.052,10,10,0.678802,0.128221
350,1.06,ITERATING,0.4666,0.0529,10,10,0.67864,0.127484
351,1.06,ITERATING,0.4699,0.0536,10,10,0.67851,0.126893
352,1.06,ITERATING,0.4726,0.0541,10,10,0.678405,0.126419
353,1.06,ITERATING,0.4745,0.0545,10,10,0.678326,0.126062
354,1.06,ITERATING,0.4762,0.0549,10,10,0.678261,0.125765
355,1.06,ITERATING,0.4774,0.0551,10,10,0.678213,0.125555
356,1.06,ITERATING,0.4784,0.0553,10,10,0.678175,0.125383
357,1.06,ITERATING,0.4792,0.0555,10,10,0.678144,0.125239
358,1.06,ITERATING,0.4797,0.0556,10,10,0.678125,0.125154
359,1.06,ITERATING,0.4802,0.0557,10,10,0.678106,0.125068
360,1.06,ITERATING,0.4805,0.0558,10,10,0.678094,0.125011
361,1.06,ITERATING,0.4809,0.0558,10,10,0.678081,0.124953
362,1.06,ITERATING,0.481,0.0559,10,10,0.678075,0.124925
363,1.06,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
364,1.06,ITERATING,0.4813,0.0559,10,10,0.678062,0.124867
365,1.06,ITERATING,0.4815,0.056,10,10,0.678056,0.124838
366,1.06,ITERATING,0.4817,0.056,10,10,0.678049,0.124809
367,1.06,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
368,1.06,ITERATING,0.4817,0.056,10,10,0.678049,0.12481
369,1.06,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
370,1.06,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
371,1.06,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
372,1.06,ITERATING,0.4818,0.056,10,10,0.678043,0.124781
